CLIENTE,PRODUCTO,CIUDAD,VENDEDOR,ESTADO,VALOR VENTA,Comision,Otro
Geraldine Ortiz,Alquitran,PEREIRA,García Val,Abierto,2740975,76747,3
Andrea Arenas,Acetileno,BOGOTA,Sánchez Mar,Cerrado,2732760,76517,28
Nataly Muriel,Acetileno,ARMENIA,Pérez Jul,Abierto,1672000,46816
Manuela Betancur,Acetona ,BOGOTA,Cardona Jua,Abierto,1750000,49000
Andrea Arenas,Kerosene,VILLAVICENCIO,Rodríguez Ale,Cerrado,5584743,156372,804
Andrea Arenas,Alquitran,BOGOTA,Alzate Val,Abierto,6320000,176960
Valerie Zapata,Alquitran,NEIVA,Cardona Jua,Abierto,3084125,86355,5
Valentina García,Alquitran,BOGOTA,Alzate Val,Abierto,2650120,74203,36
Luisa Cely,Eter Etílico,BOGOTA,Alzate Val,Abierto,1394431,39044,068
Juan Cardona,Gas,PASTO,Zapata Die,Abierto,8057207,225601,796
Alejandro Rodríguez,Acido Clorhidrico-Muriático,MEDELLIN,García Val,Cerrado,10921632,305805,696
Valentina De Los Ríos,Eter Etílico,PEREIRA,Cely Lui,Abierto,2750771,77021,588
Andrea Arenas,Acetileno,NEIVA,Zapata Man,Abierto,2026497,56741,916
Valerie Zapata,Acetona ,MEDELLIN,Muriel Nat,Ingresado,2014200,56397,6
Valentina Alzate,Acido Clorhidrico-Muriático,PEREIRA,Rodríguez Ale,Abierto,4117299,115284,372
Andrea Arenas,Acido Clorhidrico-Muriático,BOGOTA,Sánchez Mar,Pendiente envío,6228000,174384
Juliana Pérez,Acetona ,MEDELLIN,Muriel Nat,Abierto,8150307,228208,596
Valentina García,Acetileno,SINCELEJO,Betancur Man,Abierto,5000000,140000
Clara Sánchez,Toluol,CUCUTA,De Los Ríos Val,Abierto,1569440,43944,32
Cristián Grajales,Kerosene,FLORENCIA,Arenas And,Abierto,5432587,152112,436
Manuela Gómez,Acido Clorhidrico-Muriático,NEIVA,Vanegas Cam,Abierto,2283619,63941,332
Geraldine Ortiz,Toluol,BOGOTA,Alzate Val,Ingresado,1800000,50400
Geraldine Ortiz,Acetileno,CALDAS,De Los Ríos Val,Abierto,15204084,425714,352
Valentina Alzate,Acetona ,BOGOTA,Vanegas Cam,Abierto,2162694,60555,432
Valentina De Los Ríos,Acido Clorhidrico-Muriático,PASTO,García Val,Ingresado,2550000,71400
Luisa Cely,Acetileno,CUCUTA,Arenas And,Cerrado,18603941,520910,348
Natalia Zapata,Cloruro de Amonio,CALI,Zapata Val,Abierto,1835400,51391,2
Manuela Zapata,Alquitran,BOGOTA,García Val,Abierto,2258717,63244,076
Nataly Muriel,Acetileno,MEDELLIN,Muriel Nat,Cerrado,8928811,250006,708
Valentina De Los Ríos,Alquitran,MEDELLIN,Ortiz Ger,Cerrado,3500000,98000
Nataly Muriel,Alquitran,BOGOTA,Cardona Jua,Ingresado,2108597,59040,716
Camila Vanegas,Toluol,MEDELLIN,Grajales Cri,Abierto,28000000,784000
Valentina Alzate,Eter Etílico,VILLAVICENCIO,Ortiz Ger,Abierto,5252044,147057,232
Valerie Zapata,Acetileno,MEDELLIN,Alzate Val,Ingresado,4341396,121559,088
Alejandro Rodríguez,Toluol,SANTA MARTA,Zapata Nat,Abierto,1690726,47340,328
Valentina García,Cloruro de Amonio,PEREIRA,Vanegas Cam,Abierto,2802891,78480,948
Valentina Zapata,Gas,MEDELLIN,Vanegas Cam,Ingresado,2091054,58549,512
Manuela Gómez,Acido Sulfúrico,BOGOTA,Muriel Nat,Abierto,4007579,112212,212
Juliana Pérez,Acido Clorhidrico-Muriático,BOGOTA,Zapata Man,Pendiente envío,1397780,39137,84
Andrea Arenas,Acido Sulfúrico,PASTO,Gómez Man,Ingresado,2574000,72072
Manuela Gómez,Gas,BOGOTA,Pérez Jul,Abierto,5834263,163359,364
Manuela Gómez,Acetona ,MEDELLIN,Arenas And,Abierto,14509446,406264,488
Valentina De Los Ríos,Acetona ,MEDELLIN,Ortiz Ger,Abierto,1632956,45722,768
Luisa Cely,Acetileno,BOGOTA,Vanegas Cam,Cerrado,2659500,74466
Manuela Zapata,Acetona ,BOGOTA,Gómez Man,Abierto,6641341,185957,548
Camila Vanegas,Gas,CUCUTA,De Los Ríos Val,Ingresado,4960041,138881,148
Manuela Gómez,Gas,BUCARAMANGA,Zapata Man,Pendiente envío,4787282,134043,896
Luisa Cely,Acetileno,PASTO,Cely Lui,Cerrado,10691400,299359,2
Valentina García,Gas,MEDELLIN,Rodríguez Ale,Ingresado,2203757,61705,196
Natalia Zapata,Acido Clorhidrico-Muriático,PEREIRA,Zapata Man,Cerrado,2215949,62046,572
Manuela Gómez,Toluol,MEDELLIN,Muriel Nat,Pendiente envío,3500000,98000
Juliana Pérez,Acido Sulfúrico,BOGOTA,Vanegas Cam,Abierto,6321500,177002
Luisa Cely,Acetileno,MEDELLIN,García Val,Ingresado,1700000,47600
Manuela Betancur,Acetileno,VILLAVICENCIO,Gómez Man,Abierto,5425037,151901,036
Natalia Zapata,Toluol,MEDELLIN,Pérez Jul,Ingresado,22588257,632471,196
Geraldine Ortiz,Alquitran,BOGOTA,Zapata Man,Cerrado,1714881,48016,668
Valentina De Los Ríos,Gas,PEREIRA,Muriel Nat,Cerrado,2063659,57782,452
Camila Vanegas,Acetileno,TULUA,Arenas And,Abierto,1675200,46905,6
Valentina De Los Ríos,Alquitran,MEDELLIN,Ortiz Ger,Cerrado,13757255,385203,14
Luisa Cely,Acido Sulfúrico,VILLAVICENCIO,Vanegas Cam,Pendiente envío,1994367,55842,276
Nataly Muriel,Acetona ,CARTAGENA,Zapata Nat,Abierto,1967321,55084,988
Cristián Grajales,Gas,PEREIRA,Gómez Man,Abierto,2919811,81754,708
Manuela Gómez,Cloruro de Amonio,BOGOTA,Cardona Jua,Pendiente envío,2731788,76490,064
Valerie Zapata,Alquitran,BOGOTA,Zapata Man,Abierto,1500468,42013,104
Alejandro Rodríguez,Acido Sulfúrico,PEREIRA,Zapata Val,Abierto,2805569,78555,932
Manuela Gómez,Acetona ,SANTA MARTA,Cely Lui,Abierto,5293878,148228,584
Diego Zapata,Acido Clorhidrico-Muriático,CALI,Cardona Jua,Abierto,7000000,196000
Andrea Arenas,Acetona ,FLORENCIA,Zapata Die,Abierto,18548403,519355,284
Valentina García,Cloruro de Amonio,TULUA,Zapata Val,Abierto,1481336,41477,408
Andrea Arenas,Kerosene,CARTAGENA,Zapata Nat,Abierto,2227452,62368,656
Juliana Pérez,Acido Clorhidrico-Muriático,MEDELLIN,Zapata Val,Abierto,4300000,120400
Juan Cardona,Acetona ,MEDELLIN,Rodríguez Ale,Abierto,1700000,47600
Juan Cardona,Kerosene,BOGOTA,Cardona Jua,Ingresado,2720000,76160
Valentina Zapata,Acetileno,PEREIRA,Cely Lui,Abierto,2888217,80870,076
Clara Sánchez,Toluol,MONTERIA,Arenas And,Abierto,9066135,253851,78
Andrea Arenas,Eter Etílico,FLORENCIA,Muriel Nat,Pendiente envío,4736000,132608
Luisa Cely,Alquitran,ARMENIA,De Los Ríos Val,Abierto,1835556,51395,568
Valentina De Los Ríos,Acetileno,BOGOTA,Pérez Jul,Pendiente envío,6007806,168218,568
Manuela Zapata,Cloruro de Amonio,MEDELLIN,Sánchez Mar,Abierto,3184045,89153,26
Cristián Grajales,Acido Sulfúrico,BOGOTA,Ortiz Ger,Cerrado,56469893,1581157,004
